SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	Accuracy
RiceS30-3-1	Kraken2	Rice	Single	10%	30G	0.997347637
RiceS30-3-2	Kraken2	Rice	Single	10%	30G	0.997338804
RiceS30-3-3	Kraken2	Rice	Single	10%	30G	0.997340814
RiceS30-3-4	Kraken2	Rice	Single	10%	30G	0.997339574
RiceS30-3-5	Kraken2	Rice	Single	10%	30G	0.997337376
RiceS30-3-1	KMCP	Rice	Single	10%	30G	0.974784235
RiceS30-3-2	KMCP	Rice	Single	10%	30G	0.974794131
RiceS30-3-3	KMCP	Rice	Single	10%	30G	0.974773151
RiceS30-3-4	KMCP	Rice	Single	10%	30G	0.974775068
RiceS30-3-5	KMCP	Rice	Single	10%	30G	0.974747755
RiceS30-3-1	KrakenUniq	Rice	Single	10%	30G	0.999195107
RiceS30-3-2	KrakenUniq	Rice	Single	10%	30G	0.999191669
RiceS30-3-3	KrakenUniq	Rice	Single	10%	30G	0.999190565
RiceS30-3-4	KrakenUniq	Rice	Single	10%	30G	0.999192315
RiceS30-3-5	KrakenUniq	Rice	Single	10%	30G	0.99919019
RiceS60-1-1	Kneaddata	Rice	Single	90%	60G	0.999795672
RiceS60-1-2	Kneaddata	Rice	Single	90%	60G	0.999795412
RiceS60-1-3	Kneaddata	Rice	Single	90%	60G	0.999796402
RiceS60-1-4	Kneaddata	Rice	Single	90%	60G	0.999795672
RiceS60-1-5	Kneaddata	Rice	Single	90%	60G	0.999794235
RiceS60-1-1	BWA	Rice	Single	90%	60G	0.999636137
RiceS60-1-2	BWA	Rice	Single	90%	60G	0.999643257
RiceS60-1-3	BWA	Rice	Single	90%	60G	0.999607944
RiceS60-1-4	BWA	Rice	Single	90%	60G	0.99958811
RiceS60-1-5	BWA	Rice	Single	90%	60G	0.999586006
RiceS60-1-1	Bowtie2	Rice	Single	90%	60G	0.999803365
RiceS60-1-2	Bowtie2	Rice	Single	90%	60G	0.999801219
RiceS60-1-3	Bowtie2	Rice	Single	90%	60G	0.999803647
RiceS60-1-4	Bowtie2	Rice	Single	90%	60G	0.999803673
RiceS60-1-5	Bowtie2	Rice	Single	90%	60G	0.999803037
RiceS60-1-1	Kraken2	Rice	Single	90%	60G	0.969926128
RiceS60-1-2	Kraken2	Rice	Single	90%	60G	0.969924554
RiceS60-1-3	Kraken2	Rice	Single	90%	60G	0.969925072
RiceS60-1-4	Kraken2	Rice	Single	90%	60G	0.969957952
RiceS60-1-5	Kraken2	Rice	Single	90%	60G	0.969939472
RiceS60-1-1	KMCP	Rice	Single	90%	60G	0.772984933
RiceS60-1-2	KMCP	Rice	Single	90%	60G	0.772950818
RiceS60-1-3	KMCP	Rice	Single	90%	60G	0.772910546
RiceS60-1-4	KMCP	Rice	Single	90%	60G	0.772924598
RiceS60-1-5	KMCP	Rice	Single	90%	60G	0.773039413
RiceS60-1-1	KrakenUniq	Rice	Single	90%	60G	0.999909863
RiceS60-1-2	KrakenUniq	Rice	Single	90%	60G	0.999909227
RiceS60-1-3	KrakenUniq	Rice	Single	90%	60G	0.999910685
RiceS60-1-4	KrakenUniq	Rice	Single	90%	60G	0.999908727
RiceS60-1-5	KrakenUniq	Rice	Single	90%	60G	0.999908331
RiceS60-2-1	Kneaddata	Rice	Single	50%	60G	0.998974862
RiceS60-2-2	Kneaddata	Rice	Single	50%	60G	0.998971581
RiceS60-2-3	Kneaddata	Rice	Single	50%	60G	0.998972508
RiceS60-2-4	Kneaddata	Rice	Single	50%	60G	0.998969185
RiceS60-2-5	Kneaddata	Rice	Single	50%	60G	0.998971726
RiceS60-2-1	BWA	Rice	Single	50%	60G	0.998009908
RiceS60-2-2	BWA	Rice	Single	50%	60G	0.998124551
RiceS60-2-3	BWA	Rice	Single	50%	60G	0.997883082
RiceS60-2-4	BWA	Rice	Single	50%	60G	0.997882972
RiceS60-2-5	BWA	Rice	Single	50%	60G	0.997905598
RiceS60-2-1	Bowtie2	Rice	Single	50%	60G	0.99988932
RiceS60-2-2	Bowtie2	Rice	Single	50%	60G	0.999887174
RiceS60-2-3	Bowtie2	Rice	Single	50%	60G	0.999888117
RiceS60-2-4	Bowtie2	Rice	Single	50%	60G	0.999888878
RiceS60-2-5	Bowtie2	Rice	Single	50%	60G	0.999888352
RiceS60-2-1	Kraken2	Rice	Single	50%	60G	0.989043145
RiceS60-2-2	Kraken2	Rice	Single	50%	60G	0.989038837
RiceS60-2-3	Kraken2	Rice	Single	50%	60G	0.989044983
RiceS60-2-4	Kraken2	Rice	Single	50%	60G	0.989050452
RiceS60-2-5	Kraken2	Rice	Single	50%	60G	0.989046088
RiceS60-2-1	KMCP	Rice	Single	50%	60G	0.873857578
RiceS60-2-2	KMCP	Rice	Single	50%	60G	0.873823306
RiceS60-2-3	KMCP	Rice	Single	50%	60G	0.873831307
RiceS60-2-4	KMCP	Rice	Single	50%	60G	0.873846088
RiceS60-2-5	KMCP	Rice	Single	50%	60G	0.873906037
RiceS60-2-1	KrakenUniq	Rice	Single	50%	60G	0.999551542
RiceS60-2-2	KrakenUniq	Rice	Single	50%	60G	0.99955075
RiceS60-2-3	KrakenUniq	Rice	Single	50%	60G	0.999550354
RiceS60-2-4	KrakenUniq	Rice	Single	50%	60G	0.999550115
RiceS60-2-5	KrakenUniq	Rice	Single	50%	60G	0.999551156
RiceS60-3-1	Kneaddata	Rice	Single	10%	60G	0.998153312
RiceS60-3-2	Kneaddata	Rice	Single	10%	60G	0.998149041
RiceS60-3-3	Kneaddata	Rice	Single	10%	60G	0.998150853
RiceS60-3-4	Kneaddata	Rice	Single	10%	60G	0.998149906
RiceS60-3-5	Kneaddata	Rice	Single	10%	60G	0.998149572
RiceS60-3-1	BWA	Rice	Single	10%	60G	0.99635476
RiceS60-3-2	BWA	Rice	Single	10%	60G	0.996432434
RiceS60-3-3	BWA	Rice	Single	10%	60G	0.996108442
RiceS60-3-4	BWA	Rice	Single	10%	60G	0.996397876
RiceS60-3-5	BWA	Rice	Single	10%	60G	0.995995617
RiceS60-3-1	Bowtie2	Rice	Single	10%	60G	0.999975463
RiceS60-3-2	Bowtie2	Rice	Single	10%	60G	0.999974906
RiceS60-3-3	Bowtie2	Rice	Single	10%	60G	0.999975255
RiceS60-3-4	Bowtie2	Rice	Single	10%	60G	0.999974927
RiceS60-3-5	Bowtie2	Rice	Single	10%	60G	0.99997502
RiceS60-3-1	Kraken2	Rice	Single	10%	60G	0.998233119
RiceS60-3-2	Kraken2	Rice	Single	10%	60G	0.998226437
RiceS60-3-3	Kraken2	Rice	Single	10%	60G	0.998229296
RiceS60-3-4	Kraken2	Rice	Single	10%	60G	0.998227629
RiceS60-3-5	Kraken2	Rice	Single	10%	60G	0.998227685
RiceS60-3-1	KMCP	Rice	Single	10%	60G	0.974784443
RiceS60-3-2	KMCP	Rice	Single	10%	60G	0.974766328
RiceS60-3-3	KMCP	Rice	Single	10%	60G	0.974766213
RiceS60-3-4	KMCP	Rice	Single	10%	60G	0.974785391
RiceS60-3-5	KMCP	Rice	Single	10%	60G	0.974767036
RiceS60-3-1	KrakenUniq	Rice	Single	10%	60G	0.999193273
RiceS60-3-2	KrakenUniq	Rice	Single	10%	60G	0.999192752
RiceS60-3-3	KrakenUniq	Rice	Single	10%	60G	0.999193565
RiceS60-3-4	KrakenUniq	Rice	Single	10%	60G	0.999189721
RiceS60-3-5	KrakenUniq	Rice	Single	10%	60G	0.999189075
RiceM10-1-1	Kneaddata	Rice	Multiple	90%	10G	0.999714493
RiceM10-1-2	Kneaddata	Rice	Multiple	90%	10G	0.999413737
RiceM10-1-3	Kneaddata	Rice	Multiple	90%	10G	0.999788645
RiceM10-1-4	Kneaddata	Rice	Multiple	90%	10G	0.999819046
RiceM10-1-5	Kneaddata	Rice	Multiple	90%	10G	0.999627791
RiceM10-1-1	BWA	Rice	Multiple	90%	10G	0.998843898
RiceM10-1-2	BWA	Rice	Multiple	90%	10G	0.998571042
RiceM10-1-3	BWA	Rice	Multiple	90%	10G	0.999502964
RiceM10-1-4	BWA	Rice	Multiple	90%	10G	0.999136555
RiceM10-1-5	BWA	Rice	Multiple	90%	10G	0.998778697
RiceM10-1-1	Bowtie2	Rice	Multiple	90%	10G	0.999802195
RiceM10-1-2	Bowtie2	Rice	Multiple	90%	10G	0.999785695
RiceM10-1-3	Bowtie2	Rice	Multiple	90%	10G	0.99979942
RiceM10-1-4	Bowtie2	Rice	Multiple	90%	10G	0.999800395
RiceM10-1-5	Bowtie2	Rice	Multiple	90%	10G	0.99980122
RiceM10-1-1	Kraken2	Rice	Multiple	90%	10G	0.980745882
RiceM10-1-2	Kraken2	Rice	Multiple	90%	10G	0.980754082
RiceM10-1-3	Kraken2	Rice	Multiple	90%	10G	0.980772958
RiceM10-1-4	Kraken2	Rice	Multiple	90%	10G	0.980793783
RiceM10-1-5	Kraken2	Rice	Multiple	90%	10G	0.980787033
RiceM10-1-1	KMCP	Rice	Multiple	90%	10G	0.77303758
RiceM10-1-2	KMCP	Rice	Multiple	90%	10G	0.772909927
RiceM10-1-3	KMCP	Rice	Multiple	90%	10G	0.772947078
RiceM10-1-4	KMCP	Rice	Multiple	90%	10G	0.772986679
RiceM10-1-5	KMCP	Rice	Multiple	90%	10G	0.77305488
RiceM10-1-1	KrakenUniq	Rice	Multiple	90%	10G	0.999868647
RiceM10-1-2	KrakenUniq	Rice	Multiple	90%	10G	0.999638742
RiceM10-1-3	KrakenUniq	Rice	Multiple	90%	10G	0.999891848
RiceM10-1-4	KrakenUniq	Rice	Multiple	90%	10G	0.999919148
RiceM10-1-5	KrakenUniq	Rice	Multiple	90%	10G	0.999787195
RiceM10-2-1	Kneaddata	Rice	Multiple	50%	10G	0.998577568
RiceM10-2-2	Kneaddata	Rice	Multiple	50%	10G	0.997039933
RiceM10-2-3	Kneaddata	Rice	Multiple	50%	10G	0.998943776
RiceM10-2-4	Kneaddata	Rice	Multiple	50%	10G	0.999089629
RiceM10-2-5	Kneaddata	Rice	Multiple	50%	10G	0.998133557
RiceM10-2-1	BWA	Rice	Multiple	50%	10G	0.993310747
RiceM10-2-2	BWA	Rice	Multiple	50%	10G	0.99252843
RiceM10-2-3	BWA	Rice	Multiple	50%	10G	0.997265088
RiceM10-2-4	BWA	Rice	Multiple	50%	10G	0.996133737
RiceM10-2-5	BWA	Rice	Multiple	50%	10G	0.994170942
RiceM10-2-1	Bowtie2	Rice	Multiple	50%	10G	0.999878872
RiceM10-2-2	Bowtie2	Rice	Multiple	50%	10G	0.999812221
RiceM10-2-3	Bowtie2	Rice	Multiple	50%	10G	0.999869572
RiceM10-2-4	Bowtie2	Rice	Multiple	50%	10G	0.999884972
RiceM10-2-5	Bowtie2	Rice	Multiple	50%	10G	0.999882947
RiceM10-2-1	Kraken2	Rice	Multiple	50%	10G	0.989078601
RiceM10-2-2	Kraken2	Rice	Multiple	50%	10G	0.989001424
RiceM10-2-3	Kraken2	Rice	Multiple	50%	10G	0.989197254
RiceM10-2-4	Kraken2	Rice	Multiple	50%	10G	0.989183428
RiceM10-2-5	Kraken2	Rice	Multiple	50%	10G	0.989152753
RiceM10-2-1	KMCP	Rice	Multiple	50%	10G	0.873909775
RiceM10-2-2	KMCP	Rice	Multiple	50%	10G	0.873842524
RiceM10-2-3	KMCP	Rice	Multiple	50%	10G	0.873836173
RiceM10-2-4	KMCP	Rice	Multiple	50%	10G	0.873915975
RiceM10-2-5	KMCP	Rice	Multiple	50%	10G	0.873833373
RiceM10-2-1	KrakenUniq	Rice	Multiple	50%	10G	0.999352235
RiceM10-2-2	KrakenUniq	Rice	Multiple	50%	10G	0.998173808
RiceM10-2-3	KrakenUniq	Rice	Multiple	50%	10G	0.999461788
RiceM10-2-4	KrakenUniq	Rice	Multiple	50%	10G	0.999599141
RiceM10-2-5	KrakenUniq	Rice	Multiple	50%	10G	0.998923325
RiceM10-3-1	Kneaddata	Rice	Multiple	10%	10G	0.997429441
RiceM10-3-2	Kneaddata	Rice	Multiple	10%	10G	0.994685728
RiceM10-3-3	Kneaddata	Rice	Multiple	10%	10G	0.998108556
RiceM10-3-4	Kneaddata	Rice	Multiple	10%	10G	0.998366312
RiceM10-3-5	Kneaddata	Rice	Multiple	10%	10G	0.996620922
RiceM10-3-1	BWA	Rice	Multiple	10%	10G	0.988559562
RiceM10-3-2	BWA	Rice	Multiple	10%	10G	0.986520665
RiceM10-3-3	BWA	Rice	Multiple	10%	10G	0.994951609
RiceM10-3-4	BWA	Rice	Multiple	10%	10G	0.992820335
RiceM10-3-5	BWA	Rice	Multiple	10%	10G	0.989552035
RiceM10-3-1	Bowtie2	Rice	Multiple	10%	10G	0.999957649
RiceM10-3-2	Bowtie2	Rice	Multiple	10%	10G	0.999835496
RiceM10-3-3	Bowtie2	Rice	Multiple	10%	10G	0.999941224
RiceM10-3-4	Bowtie2	Rice	Multiple	10%	10G	0.999972149
RiceM10-3-5	Bowtie2	Rice	Multiple	10%	10G	0.999964599
RiceM10-3-1	Kraken2	Rice	Multiple	10%	10G	0.99738709
RiceM10-3-2	Kraken2	Rice	Multiple	10%	10G	0.997900893
RiceM10-3-3	Kraken2	Rice	Multiple	10%	10G	0.997578044
RiceM10-3-4	Kraken2	Rice	Multiple	10%	10G	0.997559569
RiceM10-3-5	Kraken2	Rice	Multiple	10%	10G	0.997546469
RiceM10-3-1	KMCP	Rice	Multiple	10%	10G	0.974810921
RiceM10-3-2	KMCP	Rice	Multiple	10%	10G	0.974811521
RiceM10-3-3	KMCP	Rice	Multiple	10%	10G	0.974814971
RiceM10-3-4	KMCP	Rice	Multiple	10%	10G	0.97479382
RiceM10-3-5	KMCP	Rice	Multiple	10%	10G	0.97476502
RiceM10-3-1	KrakenUniq	Rice	Multiple	10%	10G	0.998826223
RiceM10-3-2	KrakenUniq	Rice	Multiple	10%	10G	0.996720925
RiceM10-3-3	KrakenUniq	Rice	Multiple	10%	10G	0.999042728
RiceM10-3-4	KrakenUniq	Rice	Multiple	10%	10G	0.999277183
RiceM10-3-5	KrakenUniq	Rice	Multiple	10%	10G	0.998052705
RiceM30-1-1	Kneaddata	Rice	Multiple	90%	30G	0.999714743
RiceM30-1-2	Kneaddata	Rice	Multiple	90%	30G	0.999411528
RiceM30-1-3	Kneaddata	Rice	Multiple	90%	30G	0.999788516
RiceM30-1-4	Kneaddata	Rice	Multiple	90%	30G	0.999817537
RiceM30-1-5	Kneaddata	Rice	Multiple	90%	30G	0.999625721
RiceM30-1-1	BWA	Rice	Multiple	90%	30G	0.998743346
RiceM30-1-2	BWA	Rice	Multiple	90%	30G	0.998555394
RiceM30-1-3	BWA	Rice	Multiple	90%	30G	0.999559073
RiceM30-1-4	BWA	Rice	Multiple	90%	30G	0.99926166
RiceM30-1-5	BWA	Rice	Multiple	90%	30G	0.998817515
RiceM30-1-1	Bowtie2	Rice	Multiple	90%	30G	0.999800912
RiceM30-1-2	Bowtie2	Rice	Multiple	90%	30G	0.999783839
RiceM30-1-3	Bowtie2	Rice	Multiple	90%	30G	0.999797204
RiceM30-1-4	Bowtie2	Rice	Multiple	90%	30G	0.999802245
RiceM30-1-5	Bowtie2	Rice	Multiple	90%	30G	0.999800912
RiceM30-1-1	Kraken2	Rice	Multiple	90%	30G	0.980750955
RiceM30-1-2	Kraken2	Rice	Multiple	90%	30G	0.980727642
RiceM30-1-3	Kraken2	Rice	Multiple	90%	30G	0.980776424
RiceM30-1-4	Kraken2	Rice	Multiple	90%	30G	0.980789091
RiceM30-1-5	Kraken2	Rice	Multiple	90%	30G	0.980769601
RiceM30-1-1	KMCP	Rice	Multiple	90%	30G	0.772953755
RiceM30-1-2	KMCP	Rice	Multiple	90%	30G	0.772858461
RiceM30-1-3	KMCP	Rice	Multiple	90%	30G	0.772894316
RiceM30-1-4	KMCP	Rice	Multiple	90%	30G	0.772914421
RiceM30-1-5	KMCP	Rice	Multiple	90%	30G	0.773040278
RiceM30-1-1	KrakenUniq	Rice	Multiple	90%	30G	0.999868747
RiceM30-1-2	KrakenUniq	Rice	Multiple	90%	30G	0.999635471
