Software	SampleID	GenomeProportion	Group	Software_Group	Software_GenomeProportion	PeakRSS	Times	num_seqs-host	num_seqs-microbiome	num_seqs-total	TP	FP	FN	TN	Precision	Recall	Accuracy	F1	TPR	TNR
Kraken2	RiceS30-3-1	10%	30G	Kraken230G	Kraken20.1	0.75	17.37671667	9599780	86398020	95997800	9395418	50259	204362	86347761	0.994679153	0.978711804	0.997347637	0.98663088	0.978711804	0.999418285
Kraken2	RiceS30-3-2	10%	30G	Kraken230G	Kraken20.1	0.73	18.97905	9599780	86398020	95997800	9395127	50816	204653	86347204	0.994620336	0.978681491	0.997338804	0.986586542	0.978681491	0.999411838
Kraken2	RiceS30-3-3	10%	30G	Kraken230G	Kraken20.1	0.74	16.78598333	9599780	86398020	95997800	9394997	50493	204783	86347527	0.994654274	0.978667949	0.997340814	0.986596357	0.978667949	0.999415577
Kraken2	RiceS30-3-4	10%	30G	Kraken230G	Kraken20.1	0.76	16.8007	9599780	86398020	95997800	9395208	50823	204572	86347197	0.994619645	0.978689928	0.997339574	0.98659049	0.978689928	0.999411757
Kraken2	RiceS30-3-5	10%	30G	Kraken230G	Kraken20.1	0.75	16.7826	9599780	86398020	95997800	9395100	50926	204680	86347094	0.994608738	0.978678678	0.997337376	0.986579408	0.978678678	0.999410565
HostPurge	RiceS30-3-1	10%	30G	HostPurge30G	HostPurge0.1	13.74	102.7160833	9599780	86398020	95997800	9419364	139789	0	86216864	0.985376424	1	0.998540459	0.992634356	1	0.99838126
HostPurge	RiceS30-3-2	10%	30G	HostPurge30G	HostPurge0.1	13.74	103.8723833	9599780	86398020	95997800	9418817	139782	0	86216432	0.985376309	1	0.998540517	0.992634298	1	0.998381332
HostPurge	RiceS30-3-3	10%	30G	HostPurge30G	HostPurge0.1	13.74	100.9912333	9599780	86398020	95997800	9419065	140133	0	86216328	0.985340507	1	0.99853686	0.992616131	1	0.998377273
HostPurge	RiceS30-3-4	10%	30G	HostPurge30G	HostPurge0.1	13.75	99.63575	9599780	86398020	95997800	9419444	140359	0	86215976	0.985317794	1	0.998534504	0.992604606	1	0.998374653
HostPurge	RiceS30-3-5	10%	30G	HostPurge30G	HostPurge0.1	13.75	100.5863333	9599780	86398020	95997800	9418720	140124	0	86215982	0.985340905	1	0.998536943	0.992616334	1	0.99837737
Kneaddata	RiceS60-1-1	90%	60G	Kneaddata60G	Kneaddata0.9	30.26	1682.45795	172796040	19199974	191996014	172796040	39230	0	19160330	0.999773021	1	0.999795672	0.999886498	1	0.997956724
Kneaddata	RiceS60-1-2	90%	60G	Kneaddata60G	Kneaddata0.9	30.27	1708.600967	172796040	19199974	191996014	172796040	39280	0	19160280	0.999772732	1	0.999795412	0.999886353	1	0.99795412
Kneaddata	RiceS60-1-3	90%	60G	Kneaddata60G	Kneaddata0.9	30.27	1630.478667	172796040	19199974	191996014	172796040	39090	0	19160470	0.999773831	1	0.999796402	0.999886903	1	0.997964016
Kneaddata	RiceS60-1-4	90%	60G	Kneaddata60G	Kneaddata0.9	30.27	1604.663733	172796040	19199974	191996014	172796040	39230	0	19160330	0.999773021	1	0.999795672	0.999886498	1	0.997956724
Kneaddata	RiceS60-1-5	90%	60G	Kneaddata60G	Kneaddata0.9	30.27	1583.551883	172796040	19199974	191996014	172796040	39506	0	19160054	0.999771424	1	0.999794235	0.999885699	1	0.997942349
Kraken2	RiceS60-1-1	90%	60G	Kraken260G	Kraken20.9	0.77	54.56498333	172796040	19199974	191996014	99988846	11154	3684098	19188406	0.99988846	0.964464229	0.969926128	0.981856932	0.964464229	0.999419049
Kraken2	RiceS60-1-2	90%	60G	Kraken260G	Kraken20.9	0.77	54.33463333	172796040	19199974	191996014	99988744	11256	3684189	19188304	0.99988744	0.964463347	0.969924554	0.981855984	0.964463347	0.999413737
Kraken2	RiceS60-1-3	90%	60G	Kraken260G	Kraken20.9	0.76	55.7012	172796040	19199974	191996014	99988915	11085	3684305	19188475	0.99988915	0.964462327	0.969925072	0.981856279	0.964462327	0.999422643
Kraken2	RiceS60-1-4	90%	60G	Kraken260G	Kraken20.9	0.76	60.63186667	172796040	19199974	191996014	99988805	11195	3680023	19188365	0.99988805	0.964502126	0.969957952	0.981876372	0.964502126	0.999416914
Kraken2	RiceS60-1-5	90%	60G	Kraken260G	Kraken20.9	0.77	54.12588333	172796040	19199974	191996014	99988627	11373	3682175	19188187	0.99988627	0.964482044	0.969939472	0.981865108	0.964482044	0.999407643
HostPurge	RiceS60-1-1	90%	60G	HostPurge60G	HostPurge0.9	4.28	111.0069	172796040	19199974	191996014	100421932	30962	0	19159412	0.999691776	1	0.999741147	0.999845864	1	0.998386587
HostPurge	RiceS60-1-2	90%	60G	HostPurge60G	HostPurge0.9	4.28	111.2622333	172796040	19199974	191996014	100420582	30982	0	19159404	0.999691573	1	0.999740977	0.999845763	1	0.998385546
HostPurge	RiceS60-1-3	90%	60G	HostPurge60G	HostPurge0.9	4.28	112.3767	172796040	19199974	191996014	100420771	30831	0	19159640	0.999693076	1	0.99974224	0.999846514	1	0.998393421
HostPurge	RiceS60-1-4	90%	60G	HostPurge60G	HostPurge0.9	4.27	116.91295	172796040	19199974	191996014	100420441	30903	0	19159468	0.999692359	1	0.999741637	0.999846156	1	0.998389661
HostPurge	RiceS60-1-5	90%	60G	HostPurge60G	HostPurge0.9	4.28	110.6452167	172796040	19199974	191996014	100420491	31127	0	19159044	0.999690129	1	0.999739764	0.999845041	1	0.998377972
Kneaddata	RiceS60-2-1	50%	60G	Kneaddata60G	Kneaddata0.5	32.73	1268.199917	95997800	95997800	191995600	95997800	196822	0	95800978	0.997953919	1	0.998974862	0.998975912	1	0.997949724
Kneaddata	RiceS60-2-2	50%	60G	Kneaddata60G	Kneaddata0.5	32.73	1371.053033	95997800	95997800	191995600	95997800	197452	0	95800348	0.997947383	1	0.998971581	0.998972637	1	0.997943161
Kneaddata	RiceS60-2-3	50%	60G	Kneaddata60G	Kneaddata0.5	32.73	1102.700683	95997800	95997800	191995600	95997800	197274	0	95800526	0.99794923	1	0.998972508	0.998973562	1	0.997945015
