SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	F1
RiceS60-1-4	KMCP	Rice	Single	90%	60G	0.85563491
RiceS60-1-5	KMCP	Rice	Single	90%	60G	0.855718436
RiceS60-1-1	KrakenUniq	Rice	Single	90%	60G	0.999949926
RiceS60-1-2	KrakenUniq	Rice	Single	90%	60G	0.999949573
RiceS60-1-3	KrakenUniq	Rice	Single	90%	60G	0.999950383
RiceS60-1-4	KrakenUniq	Rice	Single	90%	60G	0.999949295
RiceS60-1-5	KrakenUniq	Rice	Single	90%	60G	0.999949075
RiceS60-2-1	Kneaddata	Rice	Single	50%	60G	0.998975912
RiceS60-2-2	Kneaddata	Rice	Single	50%	60G	0.998972637
RiceS60-2-3	Kneaddata	Rice	Single	50%	60G	0.998973562
RiceS60-2-4	Kneaddata	Rice	Single	50%	60G	0.998970246
RiceS60-2-5	Kneaddata	Rice	Single	50%	60G	0.998972783
RiceS60-2-1	BWA	Rice	Single	50%	60G	0.99801386
RiceS60-2-2	BWA	Rice	Single	50%	60G	0.998128061
RiceS60-2-3	BWA	Rice	Single	50%	60G	0.997887554
RiceS60-2-4	BWA	Rice	Single	50%	60G	0.997887445
RiceS60-2-5	BWA	Rice	Single	50%	60G	0.997909975
RiceS60-2-1	Bowtie2	Rice	Single	50%	60G	0.999889308
RiceS60-2-2	Bowtie2	Rice	Single	50%	60G	0.999887162
RiceS60-2-3	Bowtie2	Rice	Single	50%	60G	0.999888105
RiceS60-2-4	Bowtie2	Rice	Single	50%	60G	0.999888866
RiceS60-2-5	Bowtie2	Rice	Single	50%	60G	0.99988834
RiceS60-2-1	Kraken2	Rice	Single	50%	60G	0.988928278
RiceS60-2-2	Kraken2	Rice	Single	50%	60G	0.988923922
RiceS60-2-3	Kraken2	Rice	Single	50%	60G	0.988930172
RiceS60-2-4	Kraken2	Rice	Single	50%	60G	0.988935811
RiceS60-2-5	Kraken2	Rice	Single	50%	60G	0.988931354
RiceS60-2-1	KMCP	Rice	Single	50%	60G	0.855648763
RiceS60-2-2	KMCP	Rice	Single	50%	60G	0.855603882
RiceS60-2-3	KMCP	Rice	Single	50%	60G	0.855614359
RiceS60-2-4	KMCP	Rice	Single	50%	60G	0.855633717
RiceS60-2-5	KMCP	Rice	Single	50%	60G	0.855712219
RiceS60-2-1	KrakenUniq	Rice	Single	50%	60G	0.999551742
RiceS60-2-2	KrakenUniq	Rice	Single	50%	60G	0.999550951
RiceS60-2-3	KrakenUniq	Rice	Single	50%	60G	0.999550556
RiceS60-2-4	KrakenUniq	Rice	Single	50%	60G	0.999550316
RiceS60-2-5	KrakenUniq	Rice	Single	50%	60G	0.999551357
RiceS60-3-1	Kneaddata	Rice	Single	10%	60G	0.990851036
RiceS60-3-2	Kneaddata	Rice	Single	10%	60G	0.99083007
RiceS60-3-3	Kneaddata	Rice	Single	10%	60G	0.990838968
RiceS60-3-4	Kneaddata	Rice	Single	10%	60G	0.990834315
RiceS60-3-5	Kneaddata	Rice	Single	10%	60G	0.990832678
RiceS60-3-1	BWA	Rice	Single	10%	60G	0.982100049
RiceS60-3-2	BWA	Rice	Single	10%	60G	0.982474781
RiceS60-3-3	BWA	Rice	Single	10%	60G	0.98091359
RiceS60-3-4	BWA	Rice	Single	10%	60G	0.982308022
RiceS60-3-5	BWA	Rice	Single	10%	60G	0.980371091
RiceS60-3-1	Bowtie2	Rice	Single	10%	60G	0.999877303
RiceS60-3-2	Bowtie2	Rice	Single	10%	60G	0.999874516
RiceS60-3-3	Bowtie2	Rice	Single	10%	60G	0.999876261
RiceS60-3-4	Bowtie2	Rice	Single	10%	60G	0.99987462
