SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	Times
RiceS60-1-3	Bowtie2	Rice	Single	90%	60G	884.70075
RiceS60-1-4	Bowtie2	Rice	Single	90%	60G	837.0815333
RiceS60-1-5	Bowtie2	Rice	Single	90%	60G	834.4460167
RiceS60-2-1	Bowtie2	Rice	Single	50%	60G	521.1999167
RiceS60-2-2	Bowtie2	Rice	Single	50%	60G	580.919
RiceS60-2-3	Bowtie2	Rice	Single	50%	60G	579.7714167
RiceS60-2-4	Bowtie2	Rice	Single	50%	60G	561.9676667
RiceS60-2-5	Bowtie2	Rice	Single	50%	60G	495.6751667
RiceS60-3-1	Bowtie2	Rice	Single	10%	60G	158.4823333
RiceS60-3-2	Bowtie2	Rice	Single	10%	60G	175.4874333
RiceS60-3-3	Bowtie2	Rice	Single	10%	60G	194.8128667
RiceS60-3-4	Bowtie2	Rice	Single	10%	60G	203.9173
RiceS60-3-5	Bowtie2	Rice	Single	10%	60G	204.23555
RiceS60-1-1	BWA	Rice	Single	90%	60G	1185.7075
RiceS60-1-2	BWA	Rice	Single	90%	60G	1158.783017
RiceS60-1-3	BWA	Rice	Single	90%	60G	1125.957417
RiceS60-1-4	BWA	Rice	Single	90%	60G	1092.7073
RiceS60-1-5	BWA	Rice	Single	90%	60G	1091.92495
RiceS60-2-1	BWA	Rice	Single	50%	60G	968.8269667
RiceS60-2-2	BWA	Rice	Single	50%	60G	1024.618583
RiceS60-2-3	BWA	Rice	Single	50%	60G	965.1392333
RiceS60-2-4	BWA	Rice	Single	50%	60G	799.6187
RiceS60-2-5	BWA	Rice	Single	50%	60G	795.1729167
RiceS60-3-1	BWA	Rice	Single	10%	60G	718.6887833
RiceS60-3-2	BWA	Rice	Single	10%	60G	949.6216333
RiceS60-3-3	BWA	Rice	Single	10%	60G	935.8457167
RiceS60-3-4	BWA	Rice	Single	10%	60G	665.3242667
RiceS60-3-5	BWA	Rice	Single	10%	60G	530.2040667
RiceS60-1-1	Kneaddata	Rice	Single	90%	60G	1682.45795
RiceS60-1-2	Kneaddata	Rice	Single	90%	60G	1708.600967
RiceS60-1-3	Kneaddata	Rice	Single	90%	60G	1630.478667
RiceS60-1-4	Kneaddata	Rice	Single	90%	60G	1604.663733
RiceS60-1-5	Kneaddata	Rice	Single	90%	60G	1583.551883
RiceS60-2-1	Kneaddata	Rice	Single	50%	60G	1268.199917
RiceS60-2-2	Kneaddata	Rice	Single	50%	60G	1371.053033
RiceS60-2-3	Kneaddata	Rice	Single	50%	60G	1102.700683
RiceS60-2-4	Kneaddata	Rice	Single	50%	60G	999.97375
RiceS60-2-5	Kneaddata	Rice	Single	50%	60G	996.5451333
RiceS60-3-1	Kneaddata	Rice	Single	10%	60G	409.1919667
RiceS60-3-2	Kneaddata	Rice	Single	10%	60G	477.9506167
RiceS60-3-3	Kneaddata	Rice	Single	10%	60G	498.93245
RiceS60-3-4	Kneaddata	Rice	Single	10%	60G	497.5625
RiceS60-3-5	Kneaddata	Rice	Single	10%	60G	484.1424
RiceS60-1-1	Kraken2	Rice	Single	90%	60G	57.9719
RiceS60-1-2	Kraken2	Rice	Single	90%	60G	57.36791667
RiceS60-1-3	Kraken2	Rice	Single	90%	60G	57.1154
RiceS60-1-4	Kraken2	Rice	Single	90%	60G	57.4813
RiceS60-1-5	Kraken2	Rice	Single	90%	60G	57.46446667
RiceS60-2-1	Kraken2	Rice	Single	50%	60G	54.56498333
RiceS60-2-2	Kraken2	Rice	Single	50%	60G	54.33463333
RiceS60-2-3	Kraken2	Rice	Single	50%	60G	55.7012
RiceS60-2-4	Kraken2	Rice	Single	50%	60G	60.63186667
RiceS60-2-5	Kraken2	Rice	Single	50%	60G	54.12588333
RiceS60-3-1	Kraken2	Rice	Single	10%	60G	62.13508333
RiceS60-3-2	Kraken2	Rice	Single	10%	60G	61.81601667
RiceS60-3-3	Kraken2	Rice	Single	10%	60G	61.69216667
RiceS60-3-4	Kraken2	Rice	Single	10%	60G	61.02785
RiceS60-3-5	Kraken2	Rice	Single	10%	60G	61.58576667
RiceS60-1-1	KMCP	Rice	Single	90%	60G	238.6835667
RiceS60-1-2	KMCP	Rice	Single	90%	60G	255.75325
RiceS60-1-3	KMCP	Rice	Single	90%	60G	262.3160333
RiceS60-1-4	KMCP	Rice	Single	90%	60G	224.9265333
RiceS60-1-5	KMCP	Rice	Single	90%	60G	224.36155
RiceS60-2-1	KMCP	Rice	Single	50%	60G	234.16085
RiceS60-2-2	KMCP	Rice	Single	50%	60G	260.6420333
RiceS60-2-3	KMCP	Rice	Single	50%	60G	298.7545
RiceS60-2-4	KMCP	Rice	Single	50%	60G	220.5977167
RiceS60-2-5	KMCP	Rice	Single	50%	60G	219.9753
RiceS60-3-1	KMCP	Rice	Single	10%	60G	271.5744
RiceS60-3-2	KMCP	Rice	Single	10%	60G	245.24635
RiceS60-3-3	KMCP	Rice	Single	10%	60G	233.3197833
RiceS60-3-4	KMCP	Rice	Single	10%	60G	220.08745
RiceS60-3-5	KMCP	Rice	Single	10%	60G	205.7990667
RiceS60-1-1	KrakenUniq	Rice	Single	90%	60G	102.1964167
RiceS60-1-2	KrakenUniq	Rice	Single	90%	60G	99.24253333
RiceS60-1-3	KrakenUniq	Rice	Single	90%	60G	119.8495167
RiceS60-1-4	KrakenUniq	Rice	Single	90%	60G	98.3727
RiceS60-1-5	KrakenUniq	Rice	Single	90%	60G	109.2767333
RiceS60-2-1	KrakenUniq	Rice	Single	50%	60G	103.8057167
RiceS60-2-2	KrakenUniq	Rice	Single	50%	60G	95.27126667
RiceS60-2-3	KrakenUniq	Rice	Single	50%	60G	98.05703333
