SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	Gigabytes
HumanM10-2-1	BWA	Human	Multiple	50%	10G	6.57
HumanM10-2-2	BWA	Human	Multiple	50%	10G	6.78
HumanM10-2-3	BWA	Human	Multiple	50%	10G	6.73
HumanM10-2-4	BWA	Human	Multiple	50%	10G	6.77
HumanM10-2-5	BWA	Human	Multiple	50%	10G	6.73
HumanM10-3-1	BWA	Human	Multiple	10%	10G	6.57
HumanM10-3-2	BWA	Human	Multiple	10%	10G	6.78
HumanM10-3-3	BWA	Human	Multiple	10%	10G	6.72
HumanM10-3-4	BWA	Human	Multiple	10%	10G	6.77
HumanM10-3-5	BWA	Human	Multiple	10%	10G	6.72
HumanM10-1-1	KneadData	Human	Multiple	90%	10G	6.35
HumanM10-1-2	KneadData	Human	Multiple	90%	10G	6.35
HumanM10-1-3	KneadData	Human	Multiple	90%	10G	6.35
HumanM10-1-4	KneadData	Human	Multiple	90%	10G	6.35
HumanM10-1-5	KneadData	Human	Multiple	90%	10G	6.34
HumanM10-2-1	KneadData	Human	Multiple	50%	10G	6.28
HumanM10-2-2	KneadData	Human	Multiple	50%	10G	6.28
HumanM10-2-3	KneadData	Human	Multiple	50%	10G	6.28
HumanM10-2-4	KneadData	Human	Multiple	50%	10G	6.28
HumanM10-2-5	KneadData	Human	Multiple	50%	10G	6.28
HumanM10-3-1	KneadData	Human	Multiple	10%	10G	6.47
HumanM10-3-2	KneadData	Human	Multiple	10%	10G	6.47
HumanM10-3-3	KneadData	Human	Multiple	10%	10G	6.47
HumanM10-3-4	KneadData	Human	Multiple	10%	10G	6.47
HumanM10-3-5	KneadData	Human	Multiple	10%	10G	6.47
HumanM10-1-1	Kraken2	Human	Multiple	90%	10G	4.09
HumanM10-1-2	Kraken2	Human	Multiple	90%	10G	4.11
HumanM10-1-3	Kraken2	Human	Multiple	90%	10G	4.1
HumanM10-1-4	Kraken2	Human	Multiple	90%	10G	4.11
HumanM10-1-5	Kraken2	Human	Multiple	90%	10G	4.11
HumanM10-2-1	Kraken2	Human	Multiple	50%	10G	4.11
HumanM10-2-2	Kraken2	Human	Multiple	50%	10G	4.11
HumanM10-2-3	Kraken2	Human	Multiple	50%	10G	4.1
HumanM10-2-4	Kraken2	Human	Multiple	50%	10G	4.11
HumanM10-2-5	Kraken2	Human	Multiple	50%	10G	4.1
HumanM10-3-1	Kraken2	Human	Multiple	10%	10G	4.11
HumanM10-3-2	Kraken2	Human	Multiple	10%	10G	4.11
HumanM10-3-3	Kraken2	Human	Multiple	10%	10G	4.13
HumanM10-3-4	Kraken2	Human	Multiple	10%	10G	4.12
HumanM10-3-5	Kraken2	Human	Multiple	10%	10G	4.11
HumanM10-1-1	KMCP	Human	Multiple	90%	10G	27.62
HumanM10-1-2	KMCP	Human	Multiple	90%	10G	28.01
HumanM10-1-3	KMCP	Human	Multiple	90%	10G	27.97
HumanM10-1-4	KMCP	Human	Multiple	90%	10G	28.58
HumanM10-1-5	KMCP	Human	Multiple	90%	10G	28.04
HumanM10-2-1	KMCP	Human	Multiple	50%	10G	30.47
HumanM10-2-2	KMCP	Human	Multiple	50%	10G	31
HumanM10-2-3	KMCP	Human	Multiple	50%	10G	31.1
HumanM10-2-4	KMCP	Human	Multiple	50%	10G	32.06
HumanM10-2-5	KMCP	Human	Multiple	50%	10G	31.14
HumanM10-3-1	KMCP	Human	Multiple	10%	10G	25.89
HumanM10-3-2	KMCP	Human	Multiple	10%	10G	26.25
HumanM10-3-3	KMCP	Human	Multiple	10%	10G	26.25
HumanM10-3-4	KMCP	Human	Multiple	10%	10G	26.62
HumanM10-3-5	KMCP	Human	Multiple	10%	10G	25.66
HumanM10-1-1	KrakenUniq	Human	Multiple	90%	10G	33.57
HumanM10-1-2	KrakenUniq	Human	Multiple	90%	10G	33.6
HumanM10-1-3	KrakenUniq	Human	Multiple	90%	10G	33.7
HumanM10-1-4	KrakenUniq	Human	Multiple	90%	10G	33.72
HumanM10-1-5	KrakenUniq	Human	Multiple	90%	10G	33.69
HumanM10-2-1	KrakenUniq	Human	Multiple	50%	10G	33.68
HumanM10-2-2	KrakenUniq	Human	Multiple	50%	10G	33.72
HumanM10-2-3	KrakenUniq	Human	Multiple	50%	10G	33.71
HumanM10-2-4	KrakenUniq	Human	Multiple	50%	10G	33.73
HumanM10-2-5	KrakenUniq	Human	Multiple	50%	10G	33.73
HumanM10-3-1	KrakenUniq	Human	Multiple	10%	10G	33.36
HumanM10-3-2	KrakenUniq	Human	Multiple	10%	10G	33.64
HumanM10-3-3	KrakenUniq	Human	Multiple	10%	10G	33.67
HumanM10-3-4	KrakenUniq	Human	Multiple	10%	10G	33.67
HumanM10-3-5	KrakenUniq	Human	Multiple	10%	10G	33.67
HumanM30-1-1	Bowtie2	Human	Multiple	90%	30G	3.41
HumanM30-1-2	Bowtie2	Human	Multiple	90%	30G	3.42
HumanM30-1-3	Bowtie2	Human	Multiple	90%	30G	3.42
HumanM30-1-4	Bowtie2	Human	Multiple	90%	30G	3.42
HumanM30-1-5	Bowtie2	Human	Multiple	90%	30G	3.42
HumanM30-2-1	Bowtie2	Human	Multiple	50%	30G	3.42
HumanM30-2-2	Bowtie2	Human	Multiple	50%	30G	3.42
HumanM30-2-3	Bowtie2	Human	Multiple	50%	30G	3.42
HumanM30-2-4	Bowtie2	Human	Multiple	50%	30G	3.42
HumanM30-2-5	Bowtie2	Human	Multiple	50%	30G	3.42
HumanM30-3-1	Bowtie2	Human	Multiple	10%	30G	3.42
HumanM30-3-2	Bowtie2	Human	Multiple	10%	30G	3.42
HumanM30-3-3	Bowtie2	Human	Multiple	10%	30G	3.42
HumanM30-3-4	Bowtie2	Human	Multiple	10%	30G	3.42
HumanM30-3-5	Bowtie2	Human	Multiple	10%	30G	3.42
HumanM30-1-1	BWA	Human	Multiple	90%	30G	6.58
HumanM30-1-2	BWA	Human	Multiple	90%	30G	6.78
HumanM30-1-3	BWA	Human	Multiple	90%	30G	6.74
HumanM30-1-4	BWA	Human	Multiple	90%	30G	6.77
HumanM30-1-5	BWA	Human	Multiple	90%	30G	6.73
HumanM30-2-1	BWA	Human	Multiple	50%	30G	6.57
HumanM30-2-2	BWA	Human	Multiple	50%	30G	6.78
HumanM30-2-3	BWA	Human	Multiple	50%	30G	6.74
HumanM30-2-4	BWA	Human	Multiple	50%	30G	6.77
HumanM30-2-5	BWA	Human	Multiple	50%	30G	6.73
HumanM30-3-1	BWA	Human	Multiple	10%	30G	6.57
HumanM30-3-2	BWA	Human	Multiple	10%	30G	6.78
HumanM30-3-3	BWA	Human	Multiple	10%	30G	6.72
HumanM30-3-4	BWA	Human	Multiple	10%	30G	6.77
HumanM30-3-5	BWA	Human	Multiple	10%	30G	6.72
HumanM30-1-1	KneadData	Human	Multiple	90%	30G	15.07
HumanM30-1-2	KneadData	Human	Multiple	90%	30G	15.09
HumanM30-1-3	KneadData	Human	Multiple	90%	30G	15.09
HumanM30-1-4	KneadData	Human	Multiple	90%	30G	15.07
HumanM30-1-5	KneadData	Human	Multiple	90%	30G	15.09
HumanM30-2-1	KneadData	Human	Multiple	50%	30G	16.32
HumanM30-2-2	KneadData	Human	Multiple	50%	30G	16.29
HumanM30-2-3	KneadData	Human	Multiple	50%	30G	16.29
HumanM30-2-4	KneadData	Human	Multiple	50%	30G	16.27
HumanM30-2-5	KneadData	Human	Multiple	50%	30G	16.27
HumanM30-3-1	KneadData	Human	Multiple	10%	30G	15.15
HumanM30-3-2	KneadData	Human	Multiple	10%	30G	15.17
HumanM30-3-3	KneadData	Human	Multiple	10%	30G	15.16
HumanM30-3-4	KneadData	Human	Multiple	10%	30G	15.16
HumanM30-3-5	KneadData	Human	Multiple	10%	30G	15.17
HumanM30-1-1	Kraken2	Human	Multiple	90%	30G	4.11
HumanM30-1-2	Kraken2	Human	Multiple	90%	30G	4.11
HumanM30-1-3	Kraken2	Human	Multiple	90%	30G	4.1
HumanM30-1-4	Kraken2	Human	Multiple	90%	30G	4.11
HumanM30-1-5	Kraken2	Human	Multiple	90%	30G	4.11
HumanM30-2-1	Kraken2	Human	Multiple	50%	30G	4.11
HumanM30-2-2	Kraken2	Human	Multiple	50%	30G	4.11
HumanM30-2-3	Kraken2	Human	Multiple	50%	30G	4.12
HumanM30-2-4	Kraken2	Human	Multiple	50%	30G	4.12
HumanM30-2-5	Kraken2	Human	Multiple	50%	30G	4.1
HumanM30-3-1	Kraken2	Human	Multiple	10%	30G	4.12
HumanM30-3-2	Kraken2	Human	Multiple	10%	30G	4.13
HumanM30-3-3	Kraken2	Human	Multiple	10%	30G	4.17
HumanM30-3-4	Kraken2	Human	Multiple	10%	30G	4.15
HumanM30-3-5	Kraken2	Human	Multiple	10%	30G	4.1
HumanM30-1-1	KMCP	Human	Multiple	90%	30G	24.73
HumanM30-1-2	KMCP	Human	Multiple	90%	30G	24.86
HumanM30-1-3	KMCP	Human	Multiple	90%	30G	24.99
HumanM30-1-4	KMCP	Human	Multiple	90%	30G	25.45
HumanM30-1-5	KMCP	Human	Multiple	90%	30G	25.16
HumanM30-2-1	KMCP	Human	Multiple	50%	30G	24.7
HumanM30-2-2	KMCP	Human	Multiple	50%	30G	24.87
HumanM30-2-3	KMCP	Human	Multiple	50%	30G	24.86
HumanM30-2-4	KMCP	Human	Multiple	50%	30G	25.16
HumanM30-2-5	KMCP	Human	Multiple	50%	30G	24.89
HumanM30-3-1	KMCP	Human	Multiple	10%	30G	24.72
HumanM30-3-2	KMCP	Human	Multiple	10%	30G	24.81
HumanM30-3-3	KMCP	Human	Multiple	10%	30G	24.62
HumanM30-3-4	KMCP	Human	Multiple	10%	30G	25.29
HumanM30-3-5	KMCP	Human	Multiple	10%	30G	25.07
HumanM30-1-1	KrakenUniq	Human	Multiple	90%	30G	33.71
HumanM30-1-2	KrakenUniq	Human	Multiple	90%	30G	33.72
HumanM30-1-3	KrakenUniq	Human	Multiple	90%	30G	33.77
HumanM30-1-4	KrakenUniq	Human	Multiple	90%	30G	33.77
HumanM30-1-5	KrakenUniq	Human	Multiple	90%	30G	33.76
HumanM30-2-1	KrakenUniq	Human	Multiple	50%	30G	33.7
HumanM30-2-2	KrakenUniq	Human	Multiple	50%	30G	33.73
HumanM30-2-3	KrakenUniq	Human	Multiple	50%	30G	33.77
HumanM30-2-4	KrakenUniq	Human	Multiple	50%	30G	33.78
HumanM30-2-5	KrakenUniq	Human	Multiple	50%	30G	33.77
HumanM30-3-1	KrakenUniq	Human	Multiple	10%	30G	33.28
HumanM30-3-2	KrakenUniq	Human	Multiple	10%	30G	33.5
HumanM30-3-3	KrakenUniq	Human	Multiple	10%	30G	33.65
HumanM30-3-4	KrakenUniq	Human	Multiple	10%	30G	33.66
HumanM30-3-5	KrakenUniq	Human	Multiple	10%	30G	33.68
HumanM60-1-1	Bowtie2	Human	Multiple	90%	60G	3.41
HumanM60-1-2	Bowtie2	Human	Multiple	90%	60G	3.42
HumanM60-1-3	Bowtie2	Human	Multiple	90%	60G	3.42
HumanM60-1-4	Bowtie2	Human	Multiple	90%	60G	3.42
HumanM60-1-5	Bowtie2	Human	Multiple	90%	60G	3.42
HumanM60-2-1	Bowtie2	Human	Multiple	50%	60G	3.42
HumanM60-2-2	Bowtie2	Human	Multiple	50%	60G	3.42
HumanM60-2-3	Bowtie2	Human	Multiple	50%	60G	3.42
HumanM60-2-4	Bowtie2	Human	Multiple	50%	60G	3.42
HumanM60-2-5	Bowtie2	Human	Multiple	50%	60G	3.42
HumanM60-3-1	Bowtie2	Human	Multiple	10%	60G	3.41
HumanM60-3-2	Bowtie2	Human	Multiple	10%	60G	3.42
HumanM60-3-3	Bowtie2	Human	Multiple	10%	60G	3.42
HumanM60-3-4	Bowtie2	Human	Multiple	10%	60G	3.42
HumanM60-3-5	Bowtie2	Human	Multiple	10%	60G	3.42
HumanM60-1-1	BWA	Human	Multiple	90%	60G	6.58
HumanM60-1-2	BWA	Human	Multiple	90%	60G	6.79
HumanM60-1-3	BWA	Human	Multiple	90%	60G	6.74
HumanM60-1-4	BWA	Human	Multiple	90%	60G	6.77
HumanM60-1-5	BWA	Human	Multiple	90%	60G	6.73
HumanM60-2-1	BWA	Human	Multiple	50%	60G	6.58
HumanM60-2-2	BWA	Human	Multiple	50%	60G	6.78
HumanM60-2-3	BWA	Human	Multiple	50%	60G	6.74
HumanM60-2-4	BWA	Human	Multiple	50%	60G	6.77
HumanM60-2-5	BWA	Human	Multiple	50%	60G	6.74
HumanM60-3-1	BWA	Human	Multiple	10%	60G	6.57
HumanM60-3-2	BWA	Human	Multiple	10%	60G	6.79
HumanM60-3-3	BWA	Human	Multiple	10%	60G	6.73
HumanM60-3-4	BWA	Human	Multiple	10%	60G	6.77
HumanM60-3-5	BWA	Human	Multiple	10%	60G	6.73
HumanM60-1-1	KneadData	Human	Multiple	90%	60G	30.25
HumanM60-1-2	KneadData	Human	Multiple	90%	60G	29.75
HumanM60-1-3	KneadData	Human	Multiple	90%	60G	30.25
HumanM60-1-4	KneadData	Human	Multiple	90%	60G	30.26
HumanM60-1-5	KneadData	Human	Multiple	90%	60G	29.39
HumanM60-2-1	KneadData	Human	Multiple	50%	60G	32.72
HumanM60-2-2	KneadData	Human	Multiple	50%	60G	32.75
HumanM60-2-3	KneadData	Human	Multiple	50%	60G	32.75
HumanM60-2-4	KneadData	Human	Multiple	50%	60G	32.75
HumanM60-2-5	KneadData	Human	Multiple	50%	60G	32.75
HumanM60-3-1	KneadData	Human	Multiple	10%	60G	30.25
HumanM60-3-2	KneadData	Human	Multiple	10%	60G	30.26
HumanM60-3-3	KneadData	Human	Multiple	10%	60G	30.27
HumanM60-3-4	KneadData	Human	Multiple	10%	60G	30.27
HumanM60-3-5	KneadData	Human	Multiple	10%	60G	30.27
HumanM60-1-1	Kraken2	Human	Multiple	90%	60G	4.11
HumanM60-1-2	Kraken2	Human	Multiple	90%	60G	4.12
HumanM60-1-3	Kraken2	Human	Multiple	90%	60G	4.12
HumanM60-1-4	Kraken2	Human	Multiple	90%	60G	4.12
HumanM60-1-5	Kraken2	Human	Multiple	90%	60G	4.12
HumanM60-2-1	Kraken2	Human	Multiple	50%	60G	4.15
HumanM60-2-2	Kraken2	Human	Multiple	50%	60G	4.14
HumanM60-2-3	Kraken2	Human	Multiple	50%	60G	4.18
HumanM60-2-4	Kraken2	Human	Multiple	50%	60G	4.15
HumanM60-2-5	Kraken2	Human	Multiple	50%	60G	4.13
HumanM60-3-1	Kraken2	Human	Multiple	10%	60G	4.19
HumanM60-3-2	Kraken2	Human	Multiple	10%	60G	4.17
HumanM60-3-3	Kraken2	Human	Multiple	10%	60G	4.23
HumanM60-3-4	Kraken2	Human	Multiple	10%	60G	4.18
HumanM60-3-5	Kraken2	Human	Multiple	10%	60G	4.11
HumanM60-1-1	KMCP	Human	Multiple	90%	60G	24.33
HumanM60-1-2	KMCP	Human	Multiple	90%	60G	24.48
HumanM60-1-3	KMCP	Human	Multiple	90%	60G	24.57
HumanM60-1-4	KMCP	Human	Multiple	90%	60G	24.74
HumanM60-1-5	KMCP	Human	Multiple	90%	60G	24.8
HumanM60-2-1	KMCP	Human	Multiple	50%	60G	26.96
HumanM60-2-2	KMCP	Human	Multiple	50%	60G	27.29
HumanM60-2-3	KMCP	Human	Multiple	50%	60G	27.27
HumanM60-2-4	KMCP	Human	Multiple	50%	60G	27.84
HumanM60-2-5	KMCP	Human	Multiple	50%	60G	27.27
HumanM60-3-1	KMCP	Human	Multiple	10%	60G	24.6
HumanM60-3-2	KMCP	Human	Multiple	10%	60G	25.2
HumanM60-3-3	KMCP	Human	Multiple	10%	60G	25.24
HumanM60-3-4	KMCP	Human	Multiple	10%	60G	25.88
HumanM60-3-5	KMCP	Human	Multiple	10%	60G	25.71
HumanM60-1-1	KrakenUniq	Human	Multiple	90%	60G	33.43
HumanM60-1-2	KrakenUniq	Human	Multiple	90%	60G	33.7
HumanM60-1-3	KrakenUniq	Human	Multiple	90%	60G	33.81
HumanM60-1-4	KrakenUniq	Human	Multiple	90%	60G	33.8
HumanM60-1-5	KrakenUniq	Human	Multiple	90%	60G	33.83
HumanM60-2-1	KrakenUniq	Human	Multiple	50%	60G	33.62
HumanM60-2-2	KrakenUniq	Human	Multiple	50%	60G	33.72
HumanM60-2-3	KrakenUniq	Human	Multiple	50%	60G	33.83
HumanM60-2-4	KrakenUniq	Human	Multiple	50%	60G	33.68
HumanM60-2-5	KrakenUniq	Human	Multiple	50%	60G	33.69
HumanM60-3-1	KrakenUniq	Human	Multiple	10%	60G	33.57
HumanM60-3-2	KrakenUniq	Human	Multiple	10%	60G	33.69
HumanM60-3-3	KrakenUniq	Human	Multiple	10%	60G	33.76
HumanM60-3-4	KrakenUniq	Human	Multiple	10%	60G	33.67
HumanM60-3-5	KrakenUniq	Human	Multiple	10%	60G	33.75
