SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	Gigabytes
Rices30-3-3	KMCP	Rice	Single	10%	30G	3.89
Rices30-3-4	KMCP	Rice	Single	10%	30G	3.87
Rices30-3-5	KMCP	Rice	Single	10%	30G	3.9
Rices30-1-1	KrakenUniq	Rice	Single	90%	30G	11.41
Rices30-1-2	KrakenUniq	Rice	Single	90%	30G	11.11
Rices30-1-3	KrakenUniq	Rice	Single	90%	30G	10.52
Rices30-1-4	KrakenUniq	Rice	Single	90%	30G	10.77
Rices30-1-5	KrakenUniq	Rice	Single	90%	30G	10.77
Rices30-2-1	KrakenUniq	Rice	Single	50%	30G	11.43
Rices30-2-2	KrakenUniq	Rice	Single	50%	30G	11.16
Rices30-2-3	KrakenUniq	Rice	Single	50%	30G	10.68
Rices30-2-4	KrakenUniq	Rice	Single	50%	30G	11.49
Rices30-2-5	KrakenUniq	Rice	Single	50%	30G	10.75
Rices30-3-1	KrakenUniq	Rice	Single	10%	30G	11.05
Rices30-3-2	KrakenUniq	Rice	Single	10%	30G	10.45
Rices30-3-3	KrakenUniq	Rice	Single	10%	30G	10.49
Rices30-3-4	KrakenUniq	Rice	Single	10%	30G	10.57
Rices30-3-5	KrakenUniq	Rice	Single	10%	30G	10.66
RiceS60-1-1	Bowtie2	Rice	Single	90%	60G	0.460869141
RiceS60-1-2	Bowtie2	Rice	Single	90%	60G	0.459814453
RiceS60-1-3	Bowtie2	Rice	Single	90%	60G	0.46125
RiceS60-1-4	Bowtie2	Rice	Single	90%	60G	0.460371094
RiceS60-1-5	Bowtie2	Rice	Single	90%	60G	0.460048828
RiceS60-2-1	Bowtie2	Rice	Single	50%	60G	0.4653125
RiceS60-2-2	Bowtie2	Rice	Single	50%	60G	0.460800781
RiceS60-2-3	Bowtie2	Rice	Single	50%	60G	0.460830078
RiceS60-2-4	Bowtie2	Rice	Single	50%	60G	0.462626953
RiceS60-2-5	Bowtie2	Rice	Single	50%	60G	0.465
RiceS60-3-1	Bowtie2	Rice	Single	10%	60G	0.457197266
RiceS60-3-2	Bowtie2	Rice	Single	10%	60G	0.456826172
RiceS60-3-3	Bowtie2	Rice	Single	10%	60G	0.449365234
RiceS60-3-4	Bowtie2	Rice	Single	10%	60G	0.459560547
RiceS60-3-5	Bowtie2	Rice	Single	10%	60G	0.449042969
RiceS60-1-1	BWA	Rice	Single	90%	60G	1.4
RiceS60-1-2	BWA	Rice	Single	90%	60G	1.41
RiceS60-1-3	BWA	Rice	Single	90%	60G	1.41
RiceS60-1-4	BWA	Rice	Single	90%	60G	1.41
RiceS60-1-5	BWA	Rice	Single	90%	60G	1.41
RiceS60-2-1	BWA	Rice	Single	50%	60G	1.4
RiceS60-2-2	BWA	Rice	Single	50%	60G	1.41
RiceS60-2-3	BWA	Rice	Single	50%	60G	1.41
RiceS60-2-4	BWA	Rice	Single	50%	60G	1.41
RiceS60-2-5	BWA	Rice	Single	50%	60G	1.41
