KEGG_ko	anonymous_reads0
ko:K01735	7.385091
ko:K01736	10.534645000000001
ko:K01737	8.455393
ko:K01738	14.887497
ko:K01739	12.598279999999999
ko:K01740	20.760903
ko:K01744	6.331138
ko:K01745	6.638019
ko:K01749	4.601609
ko:K01750	8.303002
ko:K01751	0.945364
ko:K01752	67.291477
ko:K01754	10.363786
ko:K01755	13.868632
ko:K01756	17.367334
ko:K01758	0.700276
ko:K01759	18.195231
ko:K01760	13.202592
ko:K01761	5.813883000000001
ko:K01768	2.175741
ko:K01770	10.847986
ko:K01772	0.89823
ko:K01775	19.624389
ko:K01776	12.001455
ko:K01778	11.575800000000001
ko:K01779	4.013342
ko:K01783	14.888846000000001
ko:K01784	25.18607
ko:K01785	24.500953
ko:K01787	6.090542999999999
ko:K01788	6.53964
ko:K01790	15.00904
ko:K01791	14.448076
ko:K01792	1.488854
ko:K01794	121.97771999999999
ko:K01795	0.757395
ko:K01796	1.836294
ko:K01802	18.46144
ko:K01803	22.465205
ko:K01804	2.848716
ko:K01805	2.520432
ko:K01807	4.467976
ko:K01808	23.272995
ko:K01809	5.5504549999999995
ko:K01810	12.387958
ko:K01811	15.264778
ko:K01812	3.274248
ko:K01813	4.9841429999999995
ko:K01814	35.189060999999995
ko:K01815	3.5764839999999998
ko:K01816	0.655286
ko:K01817	19.829012
ko:K01818	8.477055
ko:K01821	4.15711
ko:K01823	1.137513
ko:K01824	0.160154
ko:K01829	0.344696
ko:K01832	0.0
ko:K01834	16.806379
ko:K01835	39.972260999999996
ko:K01838	0.213879
ko:K01839	2.7938330000000002
ko:K01840	12.35897
ko:K01841	0.329492
ko:K01843	2.231416
ko:K01844	0.458384
ko:K01845	4.0767690000000005
ko:K01847	10.19814
ko:K01854	14.378695
ko:K01857	0.3143
ko:K01858	6.619647
ko:K01866	8.779044
ko:K01867	9.03014
ko:K01868	11.515817
ko:K01869	16.865004
ko:K01870	18.994717
ko:K01872	587.727036
ko:K01873	23.26946
ko:K01874	17.174758
ko:K01875	9.510154
ko:K01876	18.821669
ko:K01878	5.0359300000000005
ko:K01879	7.5110969999999995
ko:K01880	14.07314
ko:K01881	14.990811
ko:K01883	12.391996
ko:K01885	19.692328
ko:K01886	5.959543
ko:K01887	16.652639
ko:K01889	29.142143
ko:K01890	11.26148
ko:K01892	14.839612
ko:K01893	105.55055200000001
ko:K01894	0.230695
ko:K01895	10.768893
ko:K01897	29.466448
ko:K01900	0.888555
ko:K01902	10.409601
ko:K01903	12.11684
ko:K01907	1.655173
ko:K01908	215.96223
ko:K01910	0.616264
ko:K01911	2.967873
ko:K01912	20.236095
ko:K01914	3.7020750000000002
ko:K01915	29.436754999999998
ko:K01918	4.845778
ko:K01919	1.775064
ko:K01921	26.95256
ko:K01923	11.459393
ko:K01924	10.441583
ko:K01925	9.620813
ko:K01926	6.31271
ko:K01928	12.394438000000001
ko:K01929	14.712247999999999
ko:K01930	3.553667
ko:K01931	0.538706
ko:K01933	12.752113999999999
ko:K01934	8.212375
ko:K01935	2.548777
ko:K01937	11.277672
ko:K01938	14.7856
ko:K01939	12.753226
ko:K01940	22.412624
ko:K01941	5.232411999999999
ko:K01945	13.673791
ko:K01947	0.314347
ko:K01950	8.299153
ko:K01951	18.411372
ko:K01952	32.742249
ko:K01953	8.264733
ko:K01955	28.358875
ko:K01956	10.342954
ko:K01958	91.993928
ko:K01960	7.339052
ko:K01961	17.021328
ko:K01962	20.326289000000003
ko:K01963	19.473589
ko:K01965	5.1715
ko:K01966	4.360762
ko:K01971	1.848151
ko:K01972	12.328793000000001
ko:K01974	0.593086
ko:K01975	1.8044289999999998
ko:K01989	8.925659
ko:K01990	104.672673
ko:K01991	8.194274
ko:K01992	83.604173
ko:K01993	8.291222
ko:K01995	8.277405
ko:K01996	8.223566
ko:K01997	7.319229999999999
ko:K01998	5.088271
ko:K01999	5.887307
ko:K02000	5.844829
ko:K02001	2.466713
ko:K02002	3.677778
ko:K02003	79.171104
