Sample	SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	Precision	Recall	Accuracy	F1
104	RiceS30-1-4	Bowtie2	Rice	Single	90%	30G	0.999999583	0.99978106	0.999802579	0.99989031
105	RiceS30-1-5	Bowtie2	Rice	Single	90%	30G	0.999999757	0.999780238	0.999801995	0.999889985
106	RiceS30-1-1	Kraken2	Rice	Single	90%	30G	0.999934591	0.978671514	0.980746746	0.989188801
107	RiceS30-1-2	Kraken2	Rice	Single	90%	30G	0.999933349	0.978664881	0.980739684	0.989184805
108	RiceS30-1-3	Kraken2	Rice	Single	90%	30G	0.999933516	0.978675831	0.980749684	0.98919048
109	RiceS30-1-4	Kraken2	Rice	Single	90%	30G	0.999933174	0.978692428	0.98076432	0.98919879
110	RiceS30-1-5	Kraken2	Rice	Single	90%	30G	0.99993335	0.978673157	0.980747132	0.989189033
111	RiceS30-1-1	KMCP	Rice	Single	90%	30G	1	0.747726395	0.772953755	0.855656122
112	RiceS30-1-2	KMCP	Rice	Single	90%	30G	1	0.747620582	0.772858524	0.855586836
113	RiceS30-1-3	KMCP	Rice	Single	90%	30G	1	0.747660421	0.772894379	0.855612923
114	RiceS30-1-4	KMCP	Rice	Single	90%	30G	1	0.74768269	0.772914421	0.855627505
115	RiceS30-1-5	KMCP	Rice	Single	90%	30G	1	0.747822531	0.773040278	0.855719065
116	RiceS30-1-1	KrakenUniq	Rice	Single	90%	30G	0.999902391	0.999998935	0.999911185	0.999950661
117	RiceS30-1-2	KrakenUniq	Rice	Single	90%	30G	0.999899244	0.999998704	0.999908144	0.999948971
118	RiceS30-1-3	KrakenUniq	Rice	Single	90%	30G	0.999901142	0.999998426	0.999909602	0.999949781
119	RiceS30-1-4	KrakenUniq	Rice	Single	90%	30G	0.999898156	0.999998634	0.999907102	0.999948393
120	RiceS30-1-5	KrakenUniq	Rice	Single	90%	30G	0.999899892	0.999998565	0.999908602	0.999949226
121	RiceS30-2-1	Kneaddata	Rice	Single	50%	30G	0.99796253	1	0.998979185	0.998980226
122	RiceS30-2-2	Kneaddata	Rice	Single	50%	30G	0.99795174	1	0.998973768	0.99897482
123	RiceS30-2-3	Kneaddata	Rice	Single	50%	30G	0.99795506	1	0.998975435	0.998976484
124	RiceS30-2-4	Kneaddata	Rice	Single	50%	30G	0.997943233	1	0.998969497	0.998970558
125	RiceS30-2-5	Kneaddata	Rice	Single	50%	30G	0.997939831	1	0.998967789	0.998968853
126	RiceS30-2-1	BWA	Rice	Single	50%	30G	0.996060738	0.999999979	0.998022569	0.998026472
127	RiceS30-2-2	BWA	Rice	Single	50%	30G	0.996253317	1	0.998119613	0.998123142
128	RiceS30-2-3	BWA	Rice	Single	50%	30G	0.99583652	1	0.997909556	0.997913917
129	RiceS30-2-4	BWA	Rice	Single	50%	30G	0.996158166	1	0.998071675	0.998075386
130	RiceS30-2-5	BWA	Rice	Single	50%	30G	0.995875466	1	0.997929192	0.997933472
131	RiceS30-2-1	Bowtie2	Rice	Single	50%	30G	0.999996812	0.999782495	0.999889654	0.999889642
132	RiceS30-2-2	Bowtie2	Rice	Single	50%	30G	0.99999652	0.999776932	0.999886727	0.999886714
133	RiceS30-2-3	Bowtie2	Rice	Single	50%	30G	0.999996999	0.999782974	0.999889987	0.999889975
