SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	Gigabytes	Times
RiceS30-3-2	Kraken2	Rice	Single	10%	30G	0.733125	18.97905
RiceS30-3-3	Kraken2	Rice	Single	10%	30G	0.743789063	16.78598333
RiceS30-3-4	Kraken2	Rice	Single	10%	30G	0.758642578	16.8007
RiceS30-3-5	Kraken2	Rice	Single	10%	30G	0.754863281	16.7826
RiceS30-1-1	KMCP	Rice	Single	90%	30G	4.3	120.54375
RiceS30-1-2	KMCP	Rice	Single	90%	30G	4.26	123.6377167
RiceS30-1-3	KMCP	Rice	Single	90%	30G	4.31	119.60225
RiceS30-1-4	KMCP	Rice	Single	90%	30G	4.03	141.31795
RiceS30-1-5	KMCP	Rice	Single	90%	30G	4.11	132.7989333
RiceS30-2-1	KMCP	Rice	Single	50%	30G	4.3	118.3922333
RiceS30-2-2	KMCP	Rice	Single	50%	30G	4.23	124.5711167
RiceS30-2-3	KMCP	Rice	Single	50%	30G	4.21	125.2608667
RiceS30-2-4	KMCP	Rice	Single	50%	30G	3.97	145.8540333
RiceS30-2-5	KMCP	Rice	Single	50%	30G	3.92	150.7816
RiceS30-3-1	KMCP	Rice	Single	10%	30G	4.27	116.5908667
RiceS30-3-2	KMCP	Rice	Single	10%	30G	4.29	117.1580667
RiceS30-3-3	KMCP	Rice	Single	10%	30G	3.89	150.1013833
RiceS30-3-4	KMCP	Rice	Single	10%	30G	3.87	151.5240667
RiceS30-3-5	KMCP	Rice	Single	10%	30G	3.9	147.2232667
RiceS30-1-1	KrakenUniq	Rice	Single	90%	30G	11.41	68.05793333
RiceS30-1-2	KrakenUniq	Rice	Single	90%	30G	11.11	78.4519
RiceS30-1-3	KrakenUniq	Rice	Single	90%	30G	10.52	77.85903333
RiceS30-1-4	KrakenUniq	Rice	Single	90%	30G	10.77	80.69875
RiceS30-1-5	KrakenUniq	Rice	Single	90%	30G	10.77	67.40913333
RiceS30-2-1	KrakenUniq	Rice	Single	50%	30G	11.43	55.56555
RiceS30-2-2	KrakenUniq	Rice	Single	50%	30G	11.16	64.18273333
RiceS30-2-3	KrakenUniq	Rice	Single	50%	30G	10.68	64.53691667
RiceS30-2-4	KrakenUniq	Rice	Single	50%	30G	11.49	66.02663333
RiceS30-2-5	KrakenUniq	Rice	Single	50%	30G	10.75	73.15423333
RiceS30-3-1	KrakenUniq	Rice	Single	10%	30G	11.05	70.11453333
RiceS30-3-2	KrakenUniq	Rice	Single	10%	30G	10.45	59.82631667
RiceS30-3-3	KrakenUniq	Rice	Single	10%	30G	10.49	61.49031667
RiceS30-3-4	KrakenUniq	Rice	Single	10%	30G	10.57	66.13833333
RiceS30-3-5	KrakenUniq	Rice	Single	10%	30G	10.66	51.2511
RiceS60-1-1	Bowtie2	Rice	Single	90%	60G	0.460869141	907.4201667
RiceS60-1-2	Bowtie2	Rice	Single	90%	60G	0.459814453	898.4665
RiceS60-1-3	Bowtie2	Rice	Single	90%	60G	0.46125	884.70075
RiceS60-1-4	Bowtie2	Rice	Single	90%	60G	0.460371094	837.0815333
RiceS60-1-5	Bowtie2	Rice	Single	90%	60G	0.460048828	834.4460167
RiceS60-2-1	Bowtie2	Rice	Single	50%	60G	0.4653125	521.1999167
RiceS60-2-2	Bowtie2	Rice	Single	50%	60G	0.460800781	580.919
RiceS60-2-3	Bowtie2	Rice	Single	50%	60G	0.460830078	579.7714167
RiceS60-2-4	Bowtie2	Rice	Single	50%	60G	0.462626953	561.9676667
RiceS60-2-5	Bowtie2	Rice	Single	50%	60G	0.465	495.6751667
RiceS60-3-1	Bowtie2	Rice	Single	10%	60G	0.457197266	158.4823333
RiceS60-3-2	Bowtie2	Rice	Single	10%	60G	0.456826172	175.4874333
RiceS60-3-3	Bowtie2	Rice	Single	10%	60G	0.449365234	194.8128667
RiceS60-3-4	Bowtie2	Rice	Single	10%	60G	0.459560547	203.9173
RiceS60-3-5	Bowtie2	Rice	Single	10%	60G	0.449042969	204.23555
RiceS60-1-1	BWA	Rice	Single	90%	60G	1.4	1185.7075
RiceS60-1-2	BWA	Rice	Single	90%	60G	1.41	1158.783017
RiceS60-1-3	BWA	Rice	Single	90%	60G	1.41	1125.957417
RiceS60-1-4	BWA	Rice	Single	90%	60G	1.41	1092.7073
RiceS60-1-5	BWA	Rice	Single	90%	60G	1.41	1091.92495
RiceS60-2-1	BWA	Rice	Single	50%	60G	1.4	968.8269667
RiceS60-2-2	BWA	Rice	Single	50%	60G	1.41	1024.618583
RiceS60-2-3	BWA	Rice	Single	50%	60G	1.41	965.1392333
RiceS60-2-4	BWA	Rice	Single	50%	60G	1.41	799.6187
RiceS60-2-5	BWA	Rice	Single	50%	60G	1.41	795.1729167
RiceS60-3-1	BWA	Rice	Single	10%	60G	1.34	718.6887833
RiceS60-3-2	BWA	Rice	Single	10%	60G	1.34	949.6216333
RiceS60-3-3	BWA	Rice	Single	10%	60G	1.34	935.8457167
RiceS60-3-4	BWA	Rice	Single	10%	60G	1.34	665.3242667
RiceS60-3-5	BWA	Rice	Single	10%	60G	1.34	530.2040667
RiceS60-1-1	Kneaddata	Rice	Single	90%	60G	30.26	1682.45795
RiceS60-1-2	Kneaddata	Rice	Single	90%	60G	30.27	1708.600967
RiceS60-1-3	Kneaddata	Rice	Single	90%	60G	30.27	1630.478667
RiceS60-1-4	Kneaddata	Rice	Single	90%	60G	30.27	1604.663733
RiceS60-1-5	Kneaddata	Rice	Single	90%	60G	30.27	1583.551883
RiceS60-2-1	Kneaddata	Rice	Single	50%	60G	32.73	1268.199917
RiceS60-2-2	Kneaddata	Rice	Single	50%	60G	32.73	1371.053033
RiceS60-2-3	Kneaddata	Rice	Single	50%	60G	32.73	1102.700683
RiceS60-2-4	Kneaddata	Rice	Single	50%	60G	32.74	999.97375
RiceS60-2-5	Kneaddata	Rice	Single	50%	60G	32.56	996.5451333
RiceS60-3-1	Kneaddata	Rice	Single	10%	60G	30.3	409.1919667
RiceS60-3-2	Kneaddata	Rice	Single	10%	60G	30.3	477.9506167
RiceS60-3-3	Kneaddata	Rice	Single	10%	60G	30.3	498.93245
RiceS60-3-4	Kneaddata	Rice	Single	10%	60G	30.3	497.5625
RiceS60-3-5	Kneaddata	Rice	Single	10%	60G	30.3	484.1424
RiceS60-1-1	Kraken2	Rice	Single	90%	60G	0.770957031	57.9719
RiceS60-1-2	Kraken2	Rice	Single	90%	60G	0.784716797	57.36791667
RiceS60-1-3	Kraken2	Rice	Single	90%	60G	0.773037109	57.1154
RiceS60-1-4	Kraken2	Rice	Single	90%	60G	0.768095703	57.4813
RiceS60-1-5	Kraken2	Rice	Single	90%	60G	0.773115234	57.46446667
RiceS60-2-1	Kraken2	Rice	Single	50%	60G	0.771572266	54.56498333
RiceS60-2-2	Kraken2	Rice	Single	50%	60G	0.766894531	54.33463333
RiceS60-2-3	Kraken2	Rice	Single	50%	60G	0.758564453	55.7012
RiceS60-2-4	Kraken2	Rice	Single	50%	60G	0.762109375	60.63186667
RiceS60-2-5	Kraken2	Rice	Single	50%	60G	0.768886719	54.12588333
RiceS60-3-1	Kraken2	Rice	Single	10%	60G	0.748671875	62.13508333
RiceS60-3-2	Kraken2	Rice	Single	10%	60G	0.750097656	61.81601667
RiceS60-3-3	Kraken2	Rice	Single	10%	60G	0.764609375	61.69216667
RiceS60-3-4	Kraken2	Rice	Single	10%	60G	0.755664063	61.02785
RiceS60-3-5	Kraken2	Rice	Single	10%	60G	0.760537109	61.58576667
RiceS60-1-1	KMCP	Rice	Single	90%	60G	4.35	238.6835667
RiceS60-1-2	KMCP	Rice	Single	90%	60G	4.21	255.75325
RiceS60-1-3	KMCP	Rice	Single	90%	60G	4.26	262.3160333
RiceS60-1-4	KMCP	Rice	Single	90%	60G	4.42	224.9265333
RiceS60-1-5	KMCP	Rice	Single	90%	60G	4.42	224.36155
RiceS60-2-1	KMCP	Rice	Single	50%	60G	4.35	234.16085
RiceS60-2-2	KMCP	Rice	Single	50%	60G	4.14	260.6420333
RiceS60-2-3	KMCP	Rice	Single	50%	60G	4.36	298.7545
RiceS60-2-4	KMCP	Rice	Single	50%	60G	4.42	220.5977167
RiceS60-2-5	KMCP	Rice	Single	50%	60G	4.43	219.9753
RiceS60-3-1	KMCP	Rice	Single	10%	60G	4.03	271.5744
RiceS60-3-2	KMCP	Rice	Single	10%	60G	4.14	245.24635
RiceS60-3-3	KMCP	Rice	Single	10%	60G	4.24	233.3197833
RiceS60-3-4	KMCP	Rice	Single	10%	60G	4.33	220.08745
RiceS60-3-5	KMCP	Rice	Single	10%	60G	4.38	205.7990667
RiceS60-1-1	KrakenUniq	Rice	Single	90%	60G	11.64	102.1964167
RiceS60-1-2	KrakenUniq	Rice	Single	90%	60G	11.37	99.24253333
RiceS60-1-3	KrakenUniq	Rice	Single	90%	60G	10.06	119.8495167
RiceS60-1-4	KrakenUniq	Rice	Single	90%	60G	11.44	98.3727
RiceS60-1-5	KrakenUniq	Rice	Single	90%	60G	10.78	109.2767333
RiceS60-2-1	KrakenUniq	Rice	Single	50%	60G	11.33	103.8057167
RiceS60-2-2	KrakenUniq	Rice	Single	50%	60G	11.2	95.27126667
RiceS60-2-3	KrakenUniq	Rice	Single	50%	60G	10.47	98.05703333
RiceS60-2-4	KrakenUniq	Rice	Single	50%	60G	11.28	101.8726
RiceS60-2-5	KrakenUniq	Rice	Single	50%	60G	11.53	88.24115
RiceS60-3-1	KrakenUniq	Rice	Single	10%	60G	11.04	88.89886667
RiceS60-3-2	KrakenUniq	Rice	Single	10%	60G	11.42	83.58275
RiceS60-3-3	KrakenUniq	Rice	Single	10%	60G	10.47	89.46911667
RiceS60-3-4	KrakenUniq	Rice	Single	10%	60G	11.28	88.78201667
RiceS60-3-5	KrakenUniq	Rice	Single	10%	60G	11.4	85.00276667
HumanS10-1-1	Bowtie2	Human	Single	90%	10G	3.42	213.7723167
HumanS10-1-2	Bowtie2	Human	Single	90%	10G	3.42	220.52955
HumanS10-1-3	Bowtie2	Human	Single	90%	10G	3.42	220.3082833
HumanS10-1-4	Bowtie2	Human	Single	90%	10G	3.42	215.7180667
HumanS10-1-5	Bowtie2	Human	Single	90%	10G	3.42	216.18805
HumanS10-2-1	Bowtie2	Human	Single	50%	10G	3.42	125.09145
HumanS10-2-2	Bowtie2	Human	Single	50%	10G	3.42	127.4972833
HumanS10-2-3	Bowtie2	Human	Single	50%	10G	3.42	133.8821333
HumanS10-2-4	Bowtie2	Human	Single	50%	10G	3.42	132.7663833
HumanS10-2-5	Bowtie2	Human	Single	50%	10G	3.42	128.7044667
HumanS10-3-1	Bowtie2	Human	Single	10%	10G	3.42	37.38936667
HumanS10-3-2	Bowtie2	Human	Single	10%	10G	3.42	38.57583333
HumanS10-3-3	Bowtie2	Human	Single	10%	10G	3.42	38.57651667
HumanS10-3-4	Bowtie2	Human	Single	10%	10G	3.42	38.18121667
HumanS10-3-5	Bowtie2	Human	Single	10%	10G	3.42	38.86585
HumanS10-1-1	BWA	Human	Single	90%	10G	6.58	533.2553333
HumanS10-1-2	BWA	Human	Single	90%	10G	6.78	598.86305
HumanS10-1-3	BWA	Human	Single	90%	10G	6.73	574.8370667
HumanS10-1-4	BWA	Human	Single	90%	10G	6.77	575.4799667
HumanS10-1-5	BWA	Human	Single	90%	10G	6.73	573.7618
HumanS10-2-1	BWA	Human	Single	50%	10G	6.57	423.4203167
HumanS10-2-2	BWA	Human	Single	50%	10G	6.78	419.5247667
HumanS10-2-3	BWA	Human	Single	50%	10G	6.73	385.1924833
HumanS10-2-4	BWA	Human	Single	50%	10G	6.77	401.73485
HumanS10-2-5	BWA	Human	Single	50%	10G	6.72	377.3470333
HumanS10-3-1	BWA	Human	Single	10%	10G	6.57	217.0092667
HumanS10-3-2	BWA	Human	Single	10%	10G	6.77	208.1844333
HumanS10-3-3	BWA	Human	Single	10%	10G	6.72	198.3002667
HumanS10-3-4	BWA	Human	Single	10%	10G	6.77	207.3831
HumanS10-3-5	BWA	Human	Single	10%	10G	6.72	213.2161
HumanS10-1-1	Kneaddata	Human	Single	90%	10G	6.35	592.9975167
