SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	num_seqs.host	num_seqs.microbiome	num_seqs.total	TP	FP	FN	TN	IndexingMemory	IndexingTime	RunningMemory	RunningTime	Precision	Recall	Accuracy	F1	X1NIT	X1NIM	X1NRT	X1NRM	NA	NP	NR	NF1	SUM	SuM2
HumanM30-2-3	Bowtie2	Human	Multiple	50%	30G	47998906	47999668	95998574	47886318	5438	112582	47993462	5.55	140.4534333	3.42	589.8955167	0.999886452	0.997654488	0.998770597	0.998769223	0.893935303247193	0.401900100902454	0.883504556012695	0.883504556012695	0.996295626757194	0.999202768345986	0.99361619106168	0.994542130019154	7.04650123235905	1.99083775677635
HumanM30-2-4	Bowtie2	Human	Multiple	50%	30G	47998912	47999592	95998504	47856537	228	142363	47998672	5.55	140.4534333	3.42	610.0300333	0.999995236	0.997034036	0.998514643	0.998512441	0.893935303247193	0.401900100902454	0.879479822426303	0.879479822426303	0.995521579429368	0.999966551488359	0.991927499201055	0.993401125931825	7.03561180505286	1.98892270536119
HumanM30-2-5	Bowtie2	Human	Multiple	50%	30G	47998904	47999472	95998376	47888753	89	110147	47998811	5.55	140.4534333	3.42	581.6099333	0.999998142	0.997705218	0.998851682	0.998850364	0.893935303247193	0.401900100902454	0.885160779822549	0.885160779822549	0.996540841239392	0.999986954799617	0.993754263528349	0.994902677926133	7.05134170128824	1.99144351916553
HumanM60-2-1	Bowtie2	Human	Multiple	50%	60G	95997814	95998806	191996620	95795602	85855	202198	95911945	5.55	140.4534333	3.42	1104.74	0.999104571	0.997893723	0.99849969	0.99849878	0.893935303247193	0.401900100902454	0.78059113996843	0.78059113996843	0.995476359078473	0.993713105094564	0.994267319911739	0.993340423636348	6.83381489180763	1.98881678271482
HumanM60-2-2	Bowtie2	Human	Multiple	50%	60G	95997810	95999128	191996938	95770135	434	227665	95997366	5.55	140.4534333	3.42	1113.9573	0.999995468	0.997628435	0.998811957	0.998810549	0.893935303247193	0.401900100902454	0.77874867324212	0.77874867324212	0.996420706253817	0.999968180383134	0.99354528229026	0.994725761017093	6.83799268057819	1.99114646727091
HumanM60-2-3	Bowtie2	Human	Multiple	50%	60G	95997814	95999344	191997158	95772971	10983	224829	95986817	5.55	140.4534333	3.42	1151.775333	0.999885336	0.997657978	0.998771784	0.998770415	0.893935303247193	0.401900100902454	0.771189141984917	0.771189141984917	0.996299216441973	0.999194932800437	0.993625689837723	0.994547426639914	6.82188095383953	1.99084664308189
HumanM60-2-4	Bowtie2	Human	Multiple	50%	60G	95997814	95999116	191996930	95713139	459	284661	95997341	5.55	140.4534333	3.42	1131.3484	0.999995204	0.997034713	0.998514966	0.998512764	0.893935303247193	0.401900100902454	0.775272327339964	0.775272327339964	0.995522556234915	0.999966326813218	0.991929341800305	0.993402561173859	6.82720084485187	1.98892511740877
HumanM60-2-5	Bowtie2	Human	Multiple	50%	60G	95997808	95998942	191996750	95777896	172	219904	95997628	5.55	140.4534333	3.42	1094.5451	0.999998204	0.997709281	0.998853745	0.998852431	0.893935303247193	0.401900100902454	0.782629021346715	0.782629021346715	0.996547080093395	0.999987390107702	0.993765321845559	0.994911862586462	6.84630510147619	1.99145894267986
HumanM10-2-1	Bowtie2	Human	Multiple	50%	10G	19999546	19999756	39999302	19957455	17791	42089	19981753	5.55	140.4534333	3.42	103.6942167	0.999109348	0.997895502	0.998502966	0.998502056	0.893935303247193	0.401900100902454	0.980692422040592	0.980692422040592	0.995486266245565	0.99374664488048	0.99427216183798	0.993354980456491	7.23408030165135	1.98884124670206
HumanM10-2-2	Bowtie2	Human	Multiple	50%	10G	19999544	19999844	39999388	19952321	75	47223	19999469	5.55	140.4534333	3.42	108.98375	0.999996241	0.997638796	0.998817523	0.998816128	0.893935303247193	0.401900100902454	0.97963508539071	0.97963508539071	0.996437538760544	0.999973607692011	0.993573481951746	0.99475055115738	7.23984075449275	1.99118808991792
HumanM10-2-3	Bowtie2	Human	Multiple	50%	10G	19999546	19999868	39999414	19952871	2289	46673	19997255	5.55	140.4534333	3.42	111.5108	0.999885293	0.997666297	0.998775922	0.998774562	0.893935303247193	0.401900100902454	0.979129947710399	0.979129947710399	0.996311730439967	0.999194630893216	0.993648331762624	0.994565853725731	7.23781584639198	1.9908775841657
