SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	num_seqs-host	num_seqs-microbiome	num_seqs-total	TP	FP	FN	TN	IndexingMemory	IndexingTime	RunningMemory	RunningTime	Precision	Recall	Accuracy	F1
HumanS10-3-2	Bowtie2	Human	Single	10%	10G	3999908	35999180	39999088	3990573	0	9335	35999172	5.55	140.4534333	3.42	38.57583333	1	0.997666196	0.99976662	0.998831735
HumanS10-3-3	Bowtie2	Human	Single	10%	10G	3999908	35999182	39999090	3990645	0	9263	35999172	5.55	140.4534333	3.42	38.57651667	1	0.997684197	0.99976842	0.998840756
HumanS10-3-4	Bowtie2	Human	Single	10%	10G	3999908	35999180	39999088	3988280	0	11628	35999172	5.55	140.4534333	3.42	38.18121667	1	0.997092933	0.999709293	0.998544351
HumanS10-3-5	Bowtie2	Human	Single	10%	10G	3999908	35999178	39999086	3990716	0	9192	35999172	5.55	140.4534333	3.42	38.86585	1	0.997701947	0.999770195	0.998849652
HumanS30-2-1	Bowtie2	Human	Single	50%	30G	47998900	47999100	95998000	47897654	0	101246	47998900	5.55	140.4534333	3.42	374.8788833	1	0.99789066	0.99894533	0.998944216
HumanS30-2-2	Bowtie2	Human	Single	50%	30G	47998900	47999084	95997984	47885489	0	113411	47998900	5.55	140.4534333	3.42	390.1744833	1	0.997637217	0.998818608	0.998817211
HumanS30-2-3	Bowtie2	Human	Single	50%	30G	47998900	47999088	95997988	47886318	0	112582	47998900	5.55	140.4534333	3.42	336.28055	1	0.997654488	0.998827244	0.998825867
HumanS30-2-4	Bowtie2	Human	Single	50%	30G	47998900	47999064	95997964	47856537	0	142363	47998900	5.55	140.4534333	3.42	295.6901	1	0.997034036	0.998517018	0.998514816
HumanS30-2-5	Bowtie2	Human	Single	50%	30G	47998900	47999082	95997982	47888753	0	110147	47998900	5.55	140.4534333	3.42	271.6737667	1	0.997705218	0.998852609	0.998851291
HumanS60-2-1	Bowtie2	Human	Single	50%	60G	95997800	95998178	191995978	95795602	0	202198	95997800	5.55	140.4534333	3.42	556.52875	1	0.997893723	0.998946861	0.998945751
HumanS60-2-2	Bowtie2	Human	Single	50%	60G	95997800	95998178	191995978	95770135	0	227665	95997800	5.55	140.4534333	3.42	542.84715	1	0.997628435	0.998814218	0.99881281
HumanS60-2-3	Bowtie2	Human	Single	50%	60G	95997800	95998172	191995972	95772971	0	224829	95997800	5.55	140.4534333	3.42	535.8918667	1	0.997657978	0.998828989	0.998827616
HumanS60-2-4	Bowtie2	Human	Single	50%	60G	95997800	95998124	191995924	95713139	0	284661	95997800	5.55	140.4534333	3.42	565.93455	1	0.997034713	0.998517357	0.998515155
HumanS60-2-5	Bowtie2	Human	Single	50%	60G	95997800	95998158	191995958	95777896	0	219904	95997800	5.55	140.4534333	3.42	570.91985	1	0.997709281	0.99885464	0.998853327
HumanS10-2-1	Bowtie2	Human	Single	50%	10G	19999544	19999624	39999168	19957455	0	42089	19999544	5.55	140.4534333	3.42	125.09145	1	0.997895502	0.998947751	0.998946643
HumanS10-2-2	Bowtie2	Human	Single	50%	10G	19999544	19999638	39999182	19952321	0	47223	19999544	5.55	140.4534333	3.42	127.4972833	1	0.997638796	0.998819398	0.998818003
HumanS10-2-3	Bowtie2	Human	Single	50%	10G	19999544	19999628	39999172	19952871	0	46673	19999544	5.55	140.4534333	3.42	133.8821333	1	0.997666297	0.998833148	0.998831785
HumanS10-2-4	Bowtie2	Human	Single	50%	10G	19999544	19999600	39999144	19940358	0	59186	19999544	5.55	140.4534333	3.42	132.7663833	1	0.997040633	0.998520316	0.998518124
HumanS10-2-5	Bowtie2	Human	Single	50%	10G	19999544	19999606	39999150	19953741	0	45803	19999544	5.55	140.4534333	3.42	128.7044667	1	0.997709798	0.998854899	0.998853586
HumanS30-1-1	Bowtie2	Human	Single	90%	30G	86398020	9600108	95998128	86215919	0	182101	9599780	5.55	140.4534333	3.42	475.5333667	1	0.997892301	0.998103071	0.998945039
HumanS30-1-2	Bowtie2	Human	Single	90%	30G	86398020	9600132	95998152	86192732	0	205288	9599780	5.55	140.4534333	3.42	509.9064667	1	0.997623927	0.997861534	0.99881055
HumanS30-1-3	Bowtie2	Human	Single	90%	30G	86398020	9600102	95998122	86195677	0	202343	9599780	5.55	140.4534333	3.42	520.7070667	1	0.997658013	0.997892212	0.998827634
HumanS30-1-4	Bowtie2	Human	Single	90%	30G	86398020	9600078	95998098	86141552	0	256468	9599780	5.55	140.4534333	3.42	500.2645	1	0.997031552	0.997328397	0.99851357
HumanS30-1-5	Bowtie2	Human	Single	90%	30G	86398020	9600102	95998122	86199785	0	198235	9599780	5.55	140.4534333	3.42	451.0878	1	0.997705561	0.997935005	0.998851463
HumanS60-1-1	Bowtie2	Human	Single	90%	60G	172796040	19200206	191996246	172431979	0	364061	19199560	5.55	140.4534333	3.42	833.5232167	1	0.997893117	0.998103806	0.998945448
