SampleID	Hosttype	Microbiometype	HostGenomeProportion	Software	Accuracy	Precision	Recall	F1
RiceS10-3-5	Refer	Single	10%	KrakenUniq	0.999174931	0.991819266	0.9999975	0.995891593
RiceS10-1-1	OrSinBac	Single	90%	Bowtie2	0.755486126	0.999999619	0.728318196	0.842805544
RiceS10-1-2	OrSinBac	Single	90%	Bowtie2	0.755369824	0.99999939	0.728189137	0.842719045
RiceS10-1-3	OrSinBac	Single	90%	Bowtie2	0.755246496	0.999999428	0.728052079	0.84262727
RiceS10-1-4	OrSinBac	Single	90%	Bowtie2	0.755249896	0.99999939	0.728055884	0.842629806
RiceS10-1-5	OrSinBac	Single	90%	Bowtie2	0.755366673	0.999999504	0.728185554	0.842716686
RiceS10-1-1	OrSinBac	Single	90%	BWA	0.934843526	0.999527294	0.928042817	0.962459545
RiceS10-1-2	OrSinBac	Single	90%	BWA	0.9347845	0.999683375	0.927832201	0.962418605
RiceS10-1-3	OrSinBac	Single	90%	BWA	0.934839426	0.999693475	0.927883869	0.962451081
RiceS10-1-4	OrSinBac	Single	90%	BWA	0.934512169	0.999357831	0.927831951	0.962267582
RiceS10-1-5	OrSinBac	Single	90%	BWA	0.934587146	0.999434091	0.927844424	0.962309641
RiceS10-1-1	OrSinBac	Single	90%	KneadData	0.949279733	0.999757083	0.943873487	0.971011898
RiceS10-1-2	OrSinBac	Single	90%	KneadData	0.94914908	0.999759634	0.943725872	0.970934982
RiceS10-1-3	OrSinBac	Single	90%	KneadData	0.949157981	0.999764402	0.943731261	0.970940083
RiceS10-1-4	OrSinBac	Single	90%	KneadData	0.949177431	0.999759289	0.943757706	0.970951667
RiceS10-1-5	OrSinBac	Single	90%	KneadData	0.949165531	0.999757109	0.94374654	0.970944729
RiceS10-1-1	OrSinBac	Single	90%	Kraken2	0.83737711	0.999918337	0.819374818	0.900688163
RiceS10-1-2	OrSinBac	Single	90%	Kraken2	0.837270457	0.999919952	0.819254982	0.900616413
RiceS10-1-3	OrSinBac	Single	90%	Kraken2	0.83718533	0.999922791	0.819158063	0.900558999
RiceS10-1-4	OrSinBac	Single	90%	Kraken2	0.837170555	0.999921128	0.819143007	0.900549226
RiceS10-1-5	OrSinBac	Single	90%	Kraken2	0.837146379	0.999919905	0.819117145	0.900533101
RiceS10-1-1	OrSinBac	Single	90%	KMCP	0.375817294	1	0.30646366	0.469149919
RiceS10-1-2	OrSinBac	Single	90%	KMCP	0.375778393	1	0.306420437	0.46909927
RiceS10-1-3	OrSinBac	Single	90%	KMCP	0.375819394	1	0.306465993	0.469152653
RiceS10-1-4	OrSinBac	Single	90%	KMCP	0.375838044	1	0.306486716	0.469176934
RiceS10-1-5	OrSinBac	Single	90%	KMCP	0.375822644	1	0.306469604	0.469156884
RiceS10-1-1	OrSinBac	Single	90%	KrakenUniq	0.909735174	0.999888134	0.899806418	0.947210971
RiceS10-1-2	OrSinBac	Single	90%	KrakenUniq	0.909645622	0.999891023	0.899704304	0.947155686
RiceS10-1-3	OrSinBac	Single	90%	KrakenUniq	0.909625221	0.999891884	0.899680859	0.94714308
RiceS10-1-4	OrSinBac	Single	90%	KrakenUniq	0.909598071	0.999886078	0.899655914	0.947126652
RiceS10-1-5	OrSinBac	Single	90%	KrakenUniq	0.90956247	0.999888604	0.89961408	0.947104602
RiceS10-2-1	OrSinBac	Single	50%	Bowtie2	0.864159778	0.999995744	0.728322656	0.842807154
